did,mid,medicine
1,1,Consult Doctor
2,2,M-Simethicone
3,3,T-Laparotomy
4,4,M-Antibiotic
5,5,T-Consult Doctor
6,6,T-Immediately Admit to Hospital
7,7,T-Immediately Admit to Hospital
8,8,"T-Rest, Compress Leg, Use Ice Pack, Elevate the leg"
9,9,T-Seek Rehab
10,10,M-Sodium Bicarbonate
11,11,T-Stereotactic radiation therapy
12,12,T-Physiotherapy
13,13,T-Consult Doctor
14,14,T-Consult Doctor
15,15,T-Adenoidectomy
16,16,T-Rest and Care
17,17,M-Nonsteroidal anti-Inflammatory drug
18,18,T-Individual Psychotherapy
19,19,M-Vitamin
20,20,"M-Sedative, Vitamin. T-Counselling, Family therapy"
21,21,T-Alcohol Detoxification. M-Vitamin
22,22,"M-Anxiolytic, Sedative, Vitamin"
23,23,T-Consult Doctor
24,24,"T-Sedative, Vitamin. T-Counselling and Therapies."
25,25,"T-Sedative, Vitamin. T-Counselling and Therapies."
26,26,"T-Soak in Oatmeal bath, or Baking Soda bath"
27,27,M-Azelastine
28,28,M-antihistamines
29,29,T-Consult Doctor
30,30,T-Consult Doctor
31,31,"M-Nonsteroidal anti-Inflammatory drug,  Diuretic, Analgesic"
32,32,M-Antibiotic and Antiparisitic
33,33,T-Counselling and Therapy
34,34,"M-dexmedetomidine, beta-blockers,  calcium channel blockers"
35,35,T-Consult Doctor
36,36,"M-Anaesthetic, Steroid, Dietary supplement, and Laxative"
37,37,T-Consult Doctor
38,38,M-Inject Epinephrine Immediately. T-Do CPR if the Person Stops Breathing
39,39,"M-Dietary Supplements, Vitamin. T-Blood Transfusion"
40,40,T-Wash and keep wound clean
41,41,"T-Elevate Legs, Exercise"
42,42,"M-aspirin, ibuprofen, naproxen(pain relief). T- Consult Doctor"
43,43,M-Antiparasite and Antibiotic
44,44,M-Antibiotics and Penicillin antibiotic
45,45,M-Selective Serotonin Reuptake Inhibitor (SSRI) and Antipsychotic
46,46,M-Selective Serotonin Reuptake Inhibitor (SSRI) and Antipsychotic
47,47,"M-Antihistamine, Nonsteroidal anti-Inflammatory drug, and Analgesic"
48,48,M-physostigmine salicylate
49,49,T-Supportive Therapy
50,50,"M-Selective Serotonin Reuptake Inhibitor (SSRI), Anxiolytic, Antidepressant, Sedative, and Nerve pain medication"
51,51,"M-Selective Serotonin Reuptake Inhibitor (SSRI), Anxiolytic, and Antidepressant"
52,52,M-Diuretic. T-(Surgery)Aortic valve replacement and Balloon valvuloplasty
54,54,"T-Avoid hot beverages and foods as well as salty, spicy, and citrus-based foods."
55,55,"M-Blood transfusion, Bone marrow stimulant, and Immunosuppressive drug"
56,56,M-Antibiotics and Penicillin antibiotic
57,57,T-Use First Aid Kit
58,58,T-Rest
59,59,"M-Antiarrhythmic agent, Calcium channel blocker, Beta blocker, and Dietary supplement. T-Cardioversion and Radiofrequency ablation"
60,60,T-Embolization and Radiation therapy
61,61,"M-Nonsteroidal anti-Inflammatory drug, Steroid, Analgesic, Narcotic, and Immunosuppressive drug. T-Hydrotherapy, Stretching, Massage, and Acupuncture"
62,62,T-Consult Doctor
